Fp2_F4,F4_C4,C4_P4,P4_O2,T4_T6
0.045787545787544,7.4023199023199,3.8003663003663,8.8980463980464,26.510989010989
1.08363858363858,4.31929181929182,7.92124542124542,5.69291819291819,12.1031746031746
-2.33516483516484,-0.1984126984127,13.7210012210012,2.79304029304029,-3.31196581196581
-6.3949938949939,-3.98351648351649,18.482905982906,1.08363858363858,-13.9652014652015
-8.68437118437119,-6.73076923076923,21.3827838827839,0.045787545787544,-21.0470085470085
-8.95909645909646,-8.22649572649573,22.2374847374847,-0.564713064713066,-25.2289377289377
-8.44017094017094,-8.22649572649573,21.6575091575092,-0.686813186813189,-25.6257631257631
-8.31807081807082,-7.24969474969475,20.6501831501831,-0.228937728937731,-22.8785103785104
-8.62332112332112,-6.45604395604396,20.1312576312576,0.259462759462758,-19.9481074481075
-8.59279609279609,-6.45604395604396,20.1312576312576,0.41208791208791,-19.3681318681319
-7.95177045177045,-6.85286935286935,20.0702075702076,0.167887667887666,-20.6501831501831
-7.24969474969475,-6.88339438339438,19.6428571428571,-0.0152625152625171,-21.3217338217338
-7.15811965811966,-6.36446886446887,19.1239316239316,0.106837606837605,-20.1617826617827
-7.52442002442003,-5.93711843711844,18.9102564102564,0.41208791208791,-18.513431013431
-7.67704517704518,-6.02869352869353,19.0323565323565,0.473137973137971,-18.2997557997558
-7.28021978021978,-6.3949938949939,19.0628815628816,0.289987789987788,-19.4291819291819
-6.73076923076923,-6.48656898656899,18.7576312576313,0.106837606837605,-20.1007326007326
-6.54761904761905,-6.12026862026862,18.2997557997558,0.198412698412697,-19.2765567765568
-6.79181929181929,-5.69291819291819,18.0250305250305,0.442612942612941,-17.8724053724054
-6.91391941391942,-5.69291819291819,18.0555555555556,0.534188034188032,-17.4450549450549
-6.60866910866911,-5.96764346764347,18.0555555555556,0.41208791208791,-18.1776556776557
-6.15079365079365,-6.05921855921856,17.8113553113553,0.259462759462758,-18.7576312576313
-5.93711843711844,-5.78449328449329,17.4145299145299,0.289987789987788,-18.2081807081807
-6.05921855921856,-5.41819291819292,17.1398046398046,0.473137973137971,-17.0482295482295
-6.18131868131868,-5.35714285714286,17.1092796092796,0.595238095238093,-16.5598290598291
-5.96764346764347,-5.57081807081807,17.1092796092796,0.503663003663002,-17.0177045177045
-5.57081807081807,-5.66239316239316,16.8956043956044,0.38156288156288,-17.53663003663
-5.35714285714286,-5.44871794871795,16.529304029304,0.41208791208791,-17.1703296703297
-5.38766788766789,-5.14346764346764,16.2851037851038,0.534188034188032,-16.2240537240537
-5.47924297924298,-5.05189255189255,16.1935286935287,0.656288156288154,-15.7051282051282
-5.32661782661783,-5.17399267399268,16.1630036630037,0.595238095238093,-15.9493284493285
-4.99084249084249,-5.26556776556777,15.9798534798535,0.503663003663002,-16.3461538461538
-4.77716727716728,-5.14346764346764,15.6746031746032,0.503663003663002,-16.1324786324786
-4.77716727716728,-4.86874236874237,15.4304029304029,0.595238095238093,-15.3998778998779
-4.83821733821734,-4.77716727716728,15.3083028083028,0.686813186813185,-14.8504273504274
-4.71611721611722,-4.83821733821734,15.2472527472527,0.686813186813185,-14.9725274725275
-4.44139194139194,-4.8992673992674,15.0946275946276,0.595238095238093,-15.2472527472527
-4.22771672771673,-4.80769230769231,14.8504273504273,0.595238095238093,-15.1251526251526
-4.1971916971917,-4.5940170940171,14.6062271062271,0.686813186813185,-14.514652014652
-4.1971916971917,-4.47191697191697,14.453601953602,0.747863247863246,-14.0262515262515
-4.10561660561661,-4.502442002442,14.3925518925519,0.747863247863246,-14.0262515262515
-3.89194139194139,-4.56349206349207,14.2399267399267,0.686813186813185,-14.2094017094017
-3.67826617826618,-4.47191697191697,14.0262515262515,0.686813186813185,-14.1483516483516
-3.61721611721612,-4.31929181929182,13.7820512820513,0.747863247863246,-13.6599511599512
-3.61721611721612,-4.1971916971917,13.6294261294261,0.808913308913307,-13.2020757020757
-3.55616605616606,-4.1971916971917,13.537851037851,0.808913308913307,-13.1105006105006
-3.37301587301587,-4.22771672771673,13.4157509157509,0.778388278388277,-13.2326007326007
-3.15934065934066,-4.16666666666667,13.2020757020757,0.778388278388277,-13.1715506715507
-3.0982905982906,-4.04456654456655,12.9884004884005,0.808913308913307,-12.8052503052503
-3.06776556776557,-3.92246642246642,12.8357753357753,0.869963369963368,-12.3778998778999
-3.00671550671551,-3.89194139194139,12.7442002442002,0.869963369963368,-12.2557997557998
-2.85409035409036,-3.92246642246642,12.6221001221001,0.869963369963368,-12.3168498168498
-2.67094017094017,-3.86141636141636,12.4084249084249,0.839438339438338,-12.2557997557998
-2.57936507936508,-3.73931623931624,12.2252747252747,0.869963369963368,-11.9505494505495
-2.54884004884005,-3.64774114774115,12.0726495726496,0.931013431013429,-11.5842490842491
-2.48778998778999,-3.61721611721612,11.9505494505494,0.931013431013429,-11.4316239316239
-2.33516483516484,-3.61721611721612,11.8284493284493,0.931013431013429,-11.4316239316239
-2.18253968253968,-3.58669108669109,11.6452991452991,0.900488400488399,-11.3705738705739
